desc,coserv,oncor,tnmp,trinity_valley
"single phase
single primary support",VA1,108-205,OH-6-100,VA1
"single phase
single primary support",VA1,108-210,OH-6-105,VA1
"single phase
single primary support",VA1,108-215,-,VA1
"single phase
double primary support",VA1-1,108-820,-,VA1-1
"single phase
double primary support
double support neutral",-,-,-,VA1-2
"single phase
medium angle",VA2,108-220,OH-6-110,VA2
"single phase
medium angle
double neutral support",-,-,-,VA2-3
"single phase
vertical
large angle",VA3,108-230,OH-6-115,VA3
"single phase
vertical tap
stand off bracket
reduced tension",VA3S,108-260,OH-6-145,-
"single phase
vertical
deadend angle",VA4,108-245,OH-6-130,VA4
"single phase
vertical
deadend",VA5,108-235,OH-6-120,VA5
"single phase
tap with tension
from 1ph line",VA5-1,108-250,OH-6-135,VA5-1
"single phase
four way junction",-,108-255,OH-6-140,-
"single phase
four way junction
deadend",-,108-256,OH-6-141,-
"single phase
tap with tension
from 3ph line",VA5-2,108-357,OH-6-240,-
"single phase
tap with tension
from 3ph narrow profile",VA5-2N,-,-,VA5-2N
"single phase
tap with reduced tension
from 3ph line",VA5-2S,108-358,OH-6-245,-
"single phase
tap with tension
from 1ph deadend",VA5-4,-,-,VA5-4
"single phase
tap with reduced tension
from 1ph deadend
90 angle",-,108-265,OH-6-150,-
"single phase
tap with reduced tension
from 1ph deadend",-,108-265,OH-6-151,-
"single phase
vertical 
double deadend
(no feed through)",-,-,-,VA6
"single phase
vertical 
double deadend",VA6,108-240,OH-6-125,VA6-1
"single phase
double deadend with guy
long span feeder crossing",-,108-825,-,-
"single phase
crossarm
deadend",VA7,-,-,VA7
"single phase
three crossarms
deadend",VA7-1-R,-,-,-
"single phase
crossarm
deadend",VA7A-R,-,-,-
"single phase
crossarm
1ph tap for 
reduced tension deadend",VA7S,-,-,-
"single phase
crossarm
dead takeoff for
span with tension (no pins)",-,-,-,VA7X
"single phase
crossarm
dead takeoff for
span with tension",VA7X,-,-,VA7X-1
"single phase
crossarm
dead takeoff for
span with reduced tension",VA7XS,-,-,-
"single phase
crossarm
double deadend",VA8,-,-,VA8
"single phase
crossarm
double deadend",VA8A-R,-,-,-
"single phase
crossarm
double primary support
",VA9,-,-,VA9
"single phase
crossarm
single primary support",VA9-1,-,-,-
"single phase
crossarm
single primary support
with guy",VA9-1,-,-,VA9-1
"single phase
shield
tangent",-,-,OH-6-500,-
"single phase
shield
deadend",-,-,OH-6-505,-
"two phase
crossarm
single primary support",VB1,-,-,VB1
"two phase
crossarm
single primary support
less neutral",VB1-LN,-,-,-
"two phase
crossarm
10' single primary support",VB1-10,-,-,-
"two phase
crossarm
10' single primary support
less neutral",VB1-10-LN,-,-,-
"two phase
narrow profile
single primary support",VB1N,-,-,VB1N
"two phase
crossarm
double primary support
",VB1-1,-,-,VB1-1
"two phase
crossarm
double primary support
less neutral",VB1-1-LN,-,-,-
"two phase
crossarm 
10' double primary support",VB1-1-10,-,-,-
"two phase
crossarm 
10' double primary support
less neutral",VB1-1-10-LN,-,-,-
"two phase
crossarm
single primary support
large conductors",VB1-2,-,-,-
"two phase
crossarm
single primary support
large conductors - less neutral",VB1-2-LN,-,-,-
"two phase
crossarm
10' single primary support
large conductors",VB1-2-10,-,-,-
"two phase
crossarm
10' single primary support
large conductors - less neutral",VB1-2-10-LN,-,-,-
"twophase
crossarm 
double primary support
large conductor",VB1-3,-,-,-
"two phase
crossarm
dougle primary support
large conductor - less neutral",VB1-3-LN,-,-,-
"two phase
crossarm 
10' double primary support
large conductor",VB1-3-10,-,-,-
"two phase
crossarm
10' double primary support
large conductor - less neutral",VB1-3-10-LN,-,-,-
"two phase
crossarm
double primary support
medium angle",VB2,-,-,VB2
"two phase
crossarm
double primary support
medium angle - less neutral",VB2-LN,-,-,-
"two phase
crossarm
10' double primary support
medium angle",VB2-10,-,-,-
"two phase
crossarm
10' double primary support
medium angle - less neutral",VB2-10-LN,-,-,-
"two phase
vertical
large angle
",VB3,-,-,VB3
"two phase
vertical
single primary support
reduced tension",VB3S,-,-,-
"two phase
vertical
deadend angle
heavy angle",VB4-1,-,-,VB4-1
"two phase
vertical
deadend",VB5,-,-,VB5-1
"two phase
crossarm
deadend",VB7,-,-,VB7
"two phase
crossarm
deadend - less neutral",VB7-LN,-,-,-
"two phase
three crossarm
deadend - retire only",VB7-1-R,-,-,VB7-1
"two phase
crossarm
deadend - retire only",VB7A-R,-,-,-
"two phase
crossarm
deadend - less neutral - retire only",VB7A-LN-R,-,-,-
"two phase
crossarm
deadend takeoff for
span with tension",VB7X,-,-,VB7X
"two phase
crossarm with pin insulators
deadend takeoff for
span with tension",VB7X,-,-,VB7X-1
"two phase
crossarm
deadend takeof for 
span with tension - less neutral",VB7X-LN,-,-,-
"two phase
crossarm 
deadend takeoff for 
span with reduced tension",VB7XS,-,-,-
"two phase
crossarm
deadend takeoff for span
with reduced tension - less neutral",VB7XS-LN,-,-,-
